restaurant,city,totalScore,total_reviews,historical_stars_avg,window_size,recent_sentiment,sentiment_gap,significant,direction,positive_ratio,negative_ratio,recent_stars_avg
Boyd Dining Centre,Virginia Beach,3.0,8,3.0,5,-0.19993966548162348,-0.7999396654816234,True,declining,0.4,0.6,2.4
Boyd Dining Centre,Virginia Beach,3.0,8,3.0,7,5.612049050993305e-05,-0.59994387950949,True,declining,0.42857142857142855,0.42857142857142855,2.7142857142857144
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,1,0.9999502042142879,0.3599502042142879,True,improving,1.0,0.0,5.0
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,3,0.9999502042142879,0.3599502042142879,True,improving,1.0,0.0,5.0
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,5,0.9999502550507705,0.3599502550507705,True,improving,1.0,0.0,4.8
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,7,0.7142759434983399,0.07427594349833988,False,stable,0.8571428571428571,0.14285714285714285,4.428571428571429
Burger King (Newtown Rd),Virginia Beach,3.2,150,3.013333333333333,10,0.5000105877735697,-0.13998941222643035,False,declining,0.7,0.2,3.9
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,1,6.642853032533109e-05,-0.6999335714696746,True,declining,0.0,0.0,3.0
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,3,0.6666610822559674,-0.033338917744032526,False,stable,0.6666666666666666,0.0,4.333333333333333
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,5,0.40003208412937097,-0.299967915870629,True,declining,0.6,0.2,4.0
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,7,0.28575002627676965,-0.4142499737232303,True,declining,0.5714285714285714,0.2857142857142857,3.5714285714285716
Burger King (Princess Anne Rd),Virginia Beach,3.5,150,3.54,10,0.3000298569359568,-0.39997014306404316,True,declining,0.6,0.3,3.6
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,1,0.9999497473050571,0.15994974730505707,False,improving,1.0,0.0,4.0
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,3,0.33334724996971526,-0.5066527500302849,True,declining,0.6666666666666666,0.3333333333333333,3.3333333333333335
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,5,0.40000514694974754,-0.43999485305025254,True,declining,0.6,0.2,3.4
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,7,0.5714205365086442,-0.26857946349135586,True,declining,0.7142857142857143,0.14285714285714285,3.857142857142857
California Pizza Kitchen,Virginia Beach,4.2,150,4.3933333333333335,10,0.6999818949026096,-0.14001810509739043,False,declining,0.8,0.1,4.2
Captain D's,Norfolk,3.6,150,3.8733333333333335,1,3.521012708800606e-05,-0.719964789872912,True,declining,0.0,0.0,3.0
Captain D's,Norfolk,3.6,150,3.8733333333333335,3,0.6666507843117199,-0.053349215688280105,False,stable,0.6666666666666666,0.0,4.333333333333333
Captain D's,Norfolk,3.6,150,3.8733333333333335,5,0.5999890524921846,-0.12001094750781538,False,declining,0.6,0.0,4.2
Captain D's,Norfolk,3.6,150,3.8733333333333335,7,0.7142660223459746,-0.005733977654025391,False,stable,0.7142857142857143,0.0,4.285714285714286
Captain D's,Norfolk,3.6,150,3.8733333333333335,10,0.7999737692385599,0.07997376923855992,False,stable,0.8,0.0,4.4
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,1,-0.9998688081135033,-1.6998688081135032,True,declining,0.0,1.0,1.0
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,3,-0.9998681994071196,-1.6998681994071196,True,declining,0.0,1.0,1.0
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,5,-0.1999374910826574,-0.8999374910826574,True,declining,0.4,0.6,2.4
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,7,-0.14278726470505282,-0.8427872647050527,True,declining,0.42857142857142855,0.5714285714285714,2.7142857142857144
Charleys Cheesesteaks and Wings,Virginia Beach,3.5,40,3.05,10,5.376945138029221e-05,-0.6999462305486197,True,declining,0.5,0.5,3.0
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,1,-0.9998650661521961,-1.8798650661521963,True,declining,0.0,1.0,1.0
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,3,0.3333508695725103,-0.5466491304274899,True,declining,0.6666666666666666,0.3333333333333333,3.6666666666666665
Chick-fil-A,Virginia Beach,4.4,150,4.033333333333333,5,0.5999940636460761,-0.280005936353924,True,declining,0.8,0.2,4.2
